#K-Path          Energy    tot
# NKPTS & NBANDS:  99  48
# Band-Index    1
    2.27213    -6.106885    0.695
    2.23060    -6.283010    0.696
    2.18907    -6.445479    0.685
    2.14755    -6.584760    0.592
    2.10602    -6.643417    0.142
    2.06449    -6.666017    0.033
    2.02296    -6.745990    0.014
    1.98143    -6.821097    0.011
    1.93990    -6.880290    0.010
    1.89838    -6.872761    0.689
    1.85685    -6.812218    0.700
    1.81532    -6.787876    0.706
    1.81532    -6.787876    0.706
    1.79456    -6.794447    0.703
    1.77379    -6.813757    0.699
    1.75303    -6.843950    0.685
    1.73226    -6.880061    0.612
    1.71150    -6.896819    0.184
    1.69074    -6.883912    0.055
    1.66997    -6.864166    0.033
    1.64921    -6.841538    0.026
    1.62844    -6.817232    0.025
    1.60768    -6.792854    0.026
    1.58692    -6.774093    0.033
    1.56615    -6.786338    0.038
    1.54539    -6.833339    0.039
    1.52462    -6.884324    0.184
    1.50386    -6.870133    0.673
    1.48309    -6.841377    0.664
    1.46233    -6.813274    0.654
    1.44157    -6.786368    0.644
    1.42080    -6.760961    0.634
    1.40004    -6.737272    0.623
    1.37927    -6.715464    0.613
    1.35851    -6.695648    0.603
    1.33775    -6.677880    0.593
    1.31698    -6.662169    0.582
    1.29622    -6.648520    0.574
    1.27545    -6.636860    0.567
    1.25469    -6.627132    0.560
    1.23393    -6.619297    0.555
    1.21316    -6.613247    0.551
    1.19240    -6.608962    0.547
    1.17163    -6.606338    0.544
    1.15087    -6.605461    0.543
    1.15087    -6.605461    0.543
    1.11490    -6.598427    0.544
    1.07894    -6.577515    0.544
    1.04297    -6.543008    0.544
    1.00701    -6.495442    0.542
    0.97104    -6.435586    0.540
    0.93508    -6.364400    0.537
    0.89912    -6.283211    0.530
    0.86315    -6.193799    0.519
    0.82719    -6.099124    0.502
    0.79122    -6.005800    0.476
    0.75526    -5.932046    0.470
    0.71929    -5.897535    0.523
    0.68333    -5.880501    0.572
    0.64736    -5.855313    0.615
    0.61140    -5.807581    0.657
    0.57543    -5.729444    0.698
    0.53947    -5.620501    0.731
    0.50350    -5.487639    0.754
    0.46754    -5.338631    0.770
    0.43158    -5.180295    0.784
    0.39561    -5.016928    0.795
    0.35965    -4.853261    0.805
    0.32368    -4.692107    0.814
    0.28772    -4.536644    0.824
    0.25175    -4.386405    0.831
    0.21579    -4.251399    0.839
    0.17982    -4.130223    0.848
    0.14386    -4.025586    0.854
    0.10789    -3.940488    0.860
    0.07193    -3.876072    0.866
    0.03596    -3.839172    0.871
    0.00000    -3.834641    0.874

# Band-Index    8
    0.00000    -3.817194    0.871
    0.03596    -3.823724    0.870
    0.07193    -3.812462    0.869
    0.10789    -3.813524    0.014
    0.14386    -3.879990    0.012
    0.17982    -3.962272    0.015
    0.21579    -4.058080    0.019
    0.25175    -4.164442    0.023
    0.28772    -4.281651    0.028
    0.32368    -4.404149    0.033
    0.35965    -4.531022    0.041
    0.39561    -4.659650    0.052
    0.43158    -4.787504    0.069
    0.46754    -4.912639    0.096
    0.50350    -5.033433    0.139
    0.53947    -5.149313    0.201
    0.57543    -5.262059    0.284
    0.61140    -5.373931    0.375
    0.64736    -5.486355    0.455
    0.68333    -5.597515    0.524
    0.71929    -5.700669    0.588
    0.75526    -5.777756    0.637
    0.79122    -5.816011    0.590
    0.82719    -5.848810    0.436
    0.86315    -5.907165    0.245
    0.89912    -5.984113    0.142
    0.93508    -6.062229    0.098
    0.97104    -6.133331    0.076
    1.00701    -6.193964    0.065
    1.04297    -6.242429    0.058
